id,code,roles,severity,status,area,title,problem,evidence,recommendation,sort_order,created_at
"1","F-101","engineering,marketing","critical","open","Юридический комплаенс / реквизиты","Сайт можно задеплоить без юрлица, ИНН и ОГРНИП","В `content/contacts.ts` поля legalName, inn, ogrnip — заглушки TODO_OWNER. Скрипт `scripts/check-legal-fields.mjs` проверяет их в CI, но падает (exit 1) только при переменной RELEASE=1 — а её нет ни в `.github/workflows/ci.yml`, ни в `amvera.yaml`. То есть жёсткого блокиратора релиза по факту нет: обычный push в quizv2ver1/main пройдёт CI с одним предупреждением в логе. Сайт принимает телефоны через форму без указания оператора персональных данных — риск по 152-ФЗ и закону о защите прав потребителей.","content/contacts.ts:20-28; scripts/check-legal-fields.mjs; amvera.yaml (нет RELEASE=1); .github/workflows/ci.yml (check:legal без RELEASE)","Включить RELEASE=1 в команду билда на проде (amvera.yaml → build.additionalCommands) или перенести check:legal в prebuild без флага. До заполнения реквизитов — не открывать домен для реального трафика.","1","2026-09-08T21:45:10.403707+00:00"
"2","F-102","engineering","critical","open","Хранение заявок","Тихий откат на in-memory хранилище лидов в проде","`getLeadStore()` при отсутствии DATABASE_URL молча переключается на InMemoryLeadStore и один раз пишет console.warn. Форма при этом отвечает клиенту `{ok:true}` — визуально всё работает. Если на хостинге (Amvera) переменная окружения не подхватилась при деплое или контейнер перезапустился, все заявки за сессию процесса исчезают безвозвратно, а узнают об этом только тогда, когда мастер не найдёт клиента по номеру.","lib/lead/store.ts:118-141 (getLeadStore)","В проде (NODE_ENV=production) при отсутствии DATABASE_URL — не warn, а throw при старте процесса, плюс healthcheck-эндпоинт, отдающий тип активного стора, чтобы это было видно в мониторинге.","2","2026-09-08T21:45:10.403707+00:00"
"3","F-103","marketing","critical","open","SEO / структурированные данные","19 отзывов 5.0 есть, но звёзд в поисковой выдаче нет","buildLocalBusinessSchema() не содержит aggregateRating/review, хотя у компании 19 подтверждённых отзывов с рейтингом 5.0 на Avito (content/avito-reviews.ts). Схема также не содержит streetAddress, geo и priceRange. Это самая дешёвая недоработка в аудите: данные уже есть в коде, просто не пробрасываются в JSON-LD — а именно рейтинг со звёздами в сниппете Google/Yandex сильнее всего поднимает CTR у гео-услуг вроде натяжных потолков.","lib/seo-schema.ts (buildLocalBusinessSchema); content/avito-reviews.ts (AVITO_PROFILE)","Добавить aggregateRating {ratingValue: 5.0, reviewCount: 19} и несколько review в LocalBusiness-схему; заполнить geo/streetAddress после получения адреса от владельца.","3","2026-09-08T21:45:10.403707+00:00"
"4","F-104","engineering","high","open","Техдолг воронки","Самый денежный экран воронки — самый крупный и хрупкий файл","wizard-step1-lighting.tsx — 1395 строк, CatalogSectionClient.tsx — 772 строки. Это Шаг 1 «Свет», который несёт апсейл −25% при заказе освещения вместе с потолком — по сути главный источник среднего чека сверх базовой сметы. Команда сама фиксирует это как незакрытый долг в PHASE-C-REPORT.md (цель ≤250 строк, факт 1395). Любая правка здесь — риск регресса именно там, где формируется дополнительная выручка.","components/calculator-modal/wizard-step1-lighting.tsx (1395 строк); PHASE-C-REPORT.md, раздел «Не сделано»","Довести распил N-051 до конца отдельной задачей с откатным планом: вынести автосборку профиля и wStep-логику в отдельный редьюсер, как уже сделано для Шага 0.","4","2026-09-08T21:45:10.403707+00:00"
"5","F-105","marketing","high","open","Локальный SEO / соц. доказательство","Единственный источник отзывов — Avito","Все отзывы и рейтинг на сайте берутся из одного профиля Avito (content/avito-reviews.ts). Для гео-услуги вроде натяжных потолков в Москве большая часть локального трафика и доверия формируется через карточку организации в Яндекс.Картах и 2ГИС — там же чаще всего ищут «мастер рядом» и сравнивают рейтинги напрямую в поиске/картах, до захода на сайт.","content/avito-reviews.ts; поиск по репозиторию — упоминаний Яндекс.Карт/2ГИС/Google-профиля нет","Завести и системно вести карточки в Яндекс.Картах и 2ГИС, перелить туда часть реальных клиентов с просьбой оставить отзыв; на сайте добавить блок/бейдж с этим рейтингом как второй независимый источник доверия.","5","2026-09-08T21:45:10.403707+00:00"
"6","F-106","marketing,copy","high","open","Позиционирование / hero","Ценовой якорь в hero противоречит премиальному оффферу","H1 продаёт премиальный продукт («Теневые и парящие потолки под ключ»), а единственная цифра под ним — «От 1 000 ₽/м²» — это цена базового простого потолка (content/homepage.ts, ceilingTypes.standard=1000), а не теневого/парящего. Холодный посетитель, кликнувший по рекламе теневого потолка, видит цену продукта, который ему не предлагают. Ожидание, сформированное первым экраном, не совпадёт со сметой на теневой/парящий потолок.","content/homepage.ts (hero.subtitle = «От 1 000 ₽/м²…», ceilingTypes[0].baseRatePerSqm=1000)","Показывать якорь по факту оффера: «Теневой — от 1 800 ₽/м² · Парящий — от 2 500 ₽/м²» либо явной подписью «1 000 ₽/м² — простой потолок, теневой и парящий считаются в калькуляторе».","6","2026-09-08T21:45:10.403707+00:00"
"7","F-107","design,marketing","high","open","Визуальное доверие","Единственное фото мастера используется дважды на одной странице","assetKey «vladimir-portrait» (/about-master.jpeg) подставлен и в Hero (content/homepage.ts:145), и в блок «О мастере»/FounderBlock (content/homepage.ts:331) — это один и тот же кадр. Для нарратива «работаю лично, 1 объект = 1 мастер» второй показ того же портрета читается как «больше фотографий человека нет», хотя именно здесь личное доверие должно усиливаться, а не повторяться.","content/homepage.ts:145, 331 (оба portraitAssetKey = \"vladimir-portrait\"); content/home-assets.ts:100","Сделать/добавить второй кадр — мастер на объекте за монтажом или с инструментом, не студийный портрет — специально для блока «О мастере».","7","2026-09-08T21:45:10.403707+00:00"
"8","F-108","engineering,marketing","high","open","Ручные процессы / срочность","Календарь свободных дат замера — ручной файл без мониторинга протухания в проде","availability.validUntil в content/availability.ts нужно руками продлевать не реже раза в 2-3 недели, иначе блок с датами («чт, сб») просто перестаёт показываться (страж check-availability.mjs это ловит только на CI при пуше, а не в работающем проде). Если владелец забудет обновить и задеплоить — сайт молча теряет триггер срочности, и никто не узнает, пока не заметит вручную.","content/availability.ts (validUntil: \"2026-09-22\"); scripts/check-availability.mjs (проверка только в CI)","Перенести слоты в БД (таблица уже есть под лиды в Drizzle) с простым интерфейсом обновления для нетехнического владельца — например, командой в Telegram-боте, а не правкой TypeScript-файла.","8","2026-09-08T21:45:10.403707+00:00"
"9","F-109","marketing,design","medium","open","Каталог освещения","34 SKU каталога всё ещё без собственных фото","data/catalog-images-missing.json перечисляет позиции без локальных webp (около 6% каталога по данным PHASE-C-REPORT: «94% фото»). Эти товары либо показывают хотлинк на eksmarket.ru (внешняя зависимость, может тормозить/отвалиться), либо заглушку «Фото товара». Товар без фото почти не добавляют в комплект, особенно на мобильном.","data/catalog-images-missing.json; PHASE-C-REPORT.md, «Фото ≥95% — 94% (34 товара без фото у поставщика)»","Либо дождаться фото от поставщика и прогнать build:catalog-images, либо на время скрывать/понижать в выдаче товары без фото, чтобы не терять конверсию на пустой карточке.","9","2026-09-08T21:45:10.403707+00:00"
"10","F-110","design","medium","open","Квиз-калькулятор, экран 1","Первый вопрос холодному посетителю — самоклассификация в непонятные термины","ScenarioScreen — первый экран квиза для трафика с главной — предлагает выбрать «Стандартный / Современный / Продвинутый» до того, как человек вообще ввёл площадь и увидел первую цифру. Термины «SMART-свет и сценарии управления» требуют контекста, которого у холодного посетителя ещё нет. Есть смягчающий выход «Не знаю — помогите выбрать», но de facto это лишний шаг решения перед тем, как воронка вообще что-то посчитала.","components/calculator-modal/step0/quiz-v2/screens/ScenarioScreen.tsx","A/B-тест: сделать «Стандартный» предвыбранным по умолчанию с явной подписью «рекомендуем для начала» и перевести экран в статус необязательного/пропускаемого одним тапом «Далее».","10","2026-09-08T21:45:10.403707+00:00"
